condition,variant,size,h_plan,lam,t_reeval,n_seeds,scr,fht,dead_loop_rate,new_states_per_step,success_rate,pe_nav,pe_search,pe_acquire,dscr_vs_flat,dfht_vs_flat,dscr_vs_random,dfht_vs_random
layered_lam0_h100_t25,A,15,100,0.0,25,12,0.6326,224.83,0.1701,0.6594,1.0,0.988,,,0.3559,77.83,0.21,-47.77
layered_lam0_h100_tnever,A,15,100,0.0,,12,0.6326,224.83,0.1701,0.6594,1.0,0.988,,,0.3559,77.83,0.21,-47.77
layered_lam0_h20_t10,A,15,20,0.0,10,12,0.4978,160.83,0.1677,0.72,1.0,0.9482,,,0.2211,13.83,0.0752,-111.77
layered_lam0_h20_t25,A,15,20,0.0,25,12,0.497,160.5,0.1679,0.7205,1.0,0.9481,,,0.2204,13.5,0.0744,-112.1
layered_lam0_h20_tnever,A,15,20,0.0,,12,0.4978,161.0,0.1676,0.7197,1.0,0.9481,,,0.2211,14.0,0.0752,-111.6
layered_lam0_h50_t10,A,15,50,0.0,10,12,0.4707,145.5,0.1762,0.7346,1.0,0.9841,,,0.1941,-1.5,0.0481,-127.1
layered_lam0_h50_t25,A,15,50,0.0,25,12,0.4707,145.5,0.1762,0.7346,1.0,0.9841,,,0.1941,-1.5,0.0481,-127.1
layered_lam0_h50_tnever,A,15,50,0.0,,12,0.4707,145.5,0.1762,0.7346,1.0,0.9841,,,0.1941,-1.5,0.0481,-127.1
layered_lam1_h100_t10,A,15,100,1.0,10,12,0.6459,232.33,0.1717,0.647,1.0,0.9878,,,0.3693,85.33,0.2233,-40.27
layered_lam1_h100_t25,A,15,100,1.0,25,12,0.6459,232.33,0.1717,0.647,1.0,0.9878,,,0.3693,85.33,0.2233,-40.27
layered_lam1_h100_tnever,A,15,100,1.0,,12,0.6459,232.33,0.1717,0.647,1.0,0.9878,,,0.3693,85.33,0.2233,-40.27
layered_lam1_h20_t10,A,15,20,1.0,10,12,0.487,155.17,0.1589,0.7241,1.0,0.9484,,,0.2104,8.17,0.0644,-117.43
